timestep,ax,ay,az,gx,gy,gz,flex1,flex2,flex3,flex4,flex5
312,-277.0,1320.0,-657.0,-22.0,110.0,114.0,114,60,102,79,69
313,-152.0,2261.0,-1626.0,87.0,38.0,73.0,110,53,97,73,63
314,-21.0,4431.0,-2537.0,158.0,-137.0,-216.0,115,60,102,76,65
315,243.0,5333.0,-3517.0,54.0,-502.0,-803.0,125,73,69,89,78
316,2827.0,5201.0,-3566.0,-101.0,-1004.0,-1432.0,125,75,79,91,83
317,11768.0,-686.0,2943.0,-347.0,-755.0,-1072.0,113,76,94,97,87
318,6885.0,-10938.0,1158.0,156.0,221.0,-151.0,105,74,91,92,83
319,1323.0,-3771.0,581.0,146.0,200.0,346.0,129,88,124,109,100
320,479.0,-1994.0,824.0,-22.0,43.0,295.0,96,52,98,72,67
321,246.0,-1510.0,887.0,-31.0,108.0,358.0,107,67,110,85,79
322,-253.0,-687.0,593.0,-16.0,121.0,321.0,109,62,102,78,74
323,-375.0,-361.0,478.0,-27.0,117.0,251.0,105,59,100,74,74
324,-173.0,-312.0,404.0,-53.0,134.0,217.0,118,66,75,84,82
325,-304.0,-320.0,206.0,-53.0,119.0,208.0,124,73,105,90,91
326,-172.0,-263.0,300.0,-34.0,118.0,232.0,124,73,111,88,86
327,-282.0,-105.0,142.0,10.0,126.0,246.0,128,73,112,92,85
328,-390.0,219.0,9.0,27.0,118.0,230.0,125,67,112,86,81
329,-345.0,396.0,6.0,35.0,107.0,244.0,108,54,99,75,72
330,-154.0,1024.0,-581.0,177.0,108.0,296.0,109,56,75,69,63
331,-306.0,3230.0,-1942.0,334.0,26.0,83.0,116,61,80,79,65
332,-1335.0,5441.0,-3281.0,154.0,-316.0,-545.0,124,72,110,89,73
333,1082.0,5635.0,-3847.0,-179.0,-885.0,-1303.0,113,62,73,83,70
334,11534.0,426.0,1167.0,-294.0,-1180.0,-1315.0,107,63,105,90,82
335,8529.0,-10539.0,3103.0,-135.0,116.0,67.0,89,52,92,75,76
336,3147.0,-4406.0,-437.0,248.0,404.0,339.0,93,58,92,72,79
337,-59.0,-1758.0,6.0,-191.0,182.0,293.0,89,55,106,76,76
338,124.0,-1889.0,73.0,-23.0,37.0,351.0,121,82,136,104,106
339,-127.0,-890.0,596.0,-10.0,138.0,347.0,133,87,131,105,109
340,-71.0,-451.0,623.0,-48.0,168.0,275.0,122,77,127,97,100
341,-366.0,-377.0,61.0,-112.0,190.0,258.0,123,67,124,98,98
342,-320.0,-830.0,640.0,-97.0,107.0,283.0,132,78,128,100,99
343,-148.0,-368.0,98.0,-66.0,126.0,300.0,115,53,100,75,71
344,-147.0,-64.0,36.0,8.0,171.0,270.0,127,59,102,78,72
345,-452.0,150.0,-97.0,40.0,133.0,262.0,136,61,117,86,81
346,-512.0,212.0,-101.0,18.0,58.0,251.0,148,69,121,90,81
347,-306.0,1025.0,-146.0,112.0,65.0,210.0,150,64,117,95,85
